Issue Type,Custom field (Patch Info),Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Sub-task,Patch Available,NUTCH-1803,12723838,12723827,Put test dependencies in a separate lib dir,,jnioche,Major,Resolved,Fixed,26/Jun/14 09:38,15/Jul/14 09:53,
Sub-task,,NUTCH-1804,12723840,12723827,Move JUnit dependency to test scope  ,,jnioche,Major,Resolved,Fixed,26/Jun/14 09:48,15/Jul/14 08:51,
Bug,,NUTCH-1801,12723827,,Improve handling of test dependencies in ANT+Ivy,,jnioche,Major,Resolved,Fixed,26/Jun/14 08:27,15/Jul/14 08:40,
Bug,,NUTCH-1813,12726321,,Use \u.... escapes for non-ASCII chars in TestURLUtil,,vschiavoni,Major,Open,,09/Jul/14 13:41,10/Jul/14 21:45,
Bug,Patch Available,NUTCH-1605,12656531,,mime type detector recognizes xlsx as zip file,,snagel,Major,Resolved,Fixed,07/Jul/13 20:30,05/Jul/14 21:15,
Bug,,NUTCH-385,12352978,,Improve description of thread related configuration for Fetcher,jnioche,schmed,Major,Resolved,Fixed,11/Oct/06 18:39,27/Jun/14 08:45,
Bug,,NUTCH-1798,12723332,,Crawl script not calling index command correctly,,mrbedward,Major,Resolved,Fixed,24/Jun/14 10:48,27/Jun/14 07:43,
Improvement,,NUTCH-1769,12711900,,REST API refactoring,fjodor.vershinin,vershinin,Major,Closed,Fixed,02/May/14 08:03,26/Jun/14 01:54,
Bug,,NUTCH-1793,12721436,,"HttpRobotRulesParser not configured properly => ""http.robots.403.allow"" property is not read",,jnioche,Major,Resolved,Fixed,16/Jun/14 15:28,17/Jun/14 09:21,
Bug,,NUTCH-1647,12671562,,protocol-http throws 'unzipBestEffort returned null' for redirected pages,,markus17,Major,Resolved,Fixed,01/Oct/13 12:03,13/Jun/14 11:53,
Task,,NUTCH-1789,12717446,,Migrate Nutch site to Apache CMS,lewismc,lewismc,Major,Closed,Fixed,29/May/14 23:54,11/Jun/14 04:09,
Improvement,,NUTCH-1714,12690794,,Nutch 2.x upgrade to Gora 0.4,alparslan.avci,alparslan.avci,Major,Resolved,Fixed,23/Jan/14 16:00,04/Jun/14 11:19,
Bug,Patch Available,NUTCH-1780,12714589,,ttl and gc_grace_seconds attributes are missing from gora-cassandra-mapping.xml file,,kaveh,Major,Closed,Fixed,15/May/14 19:38,03/Jun/14 10:22,
Improvement,Patch Available,NUTCH-1768,12711425,,Upgrade to ElasticSearch 1.1.0,,jnioche,Major,Resolved,Fixed,30/Apr/14 09:11,30/May/14 15:41,
Bug,Patch Available,NUTCH-1784,12714956,,modifiedTime and prevmodifiedTime never set ,,hanchi,Major,Closed,Duplicate,17/May/14 11:52,18/May/14 05:58,
New Feature,Patch Available,NUTCH-207,12328678,,Bandwidth target for fetcher rather than a thread count,jnioche,rbt,Major,Resolved,Fixed,08/Feb/06 03:44,18/May/14 03:44,
Improvement,Patch Available,NUTCH-1772,12713650,,Injector does not need merging if no pre-existing crawldb,,jnioche,Major,Resolved,Fixed,12/May/14 15:30,18/May/14 03:44,
Bug,Patch Available,NUTCH-1752,12707383,,cache robots.txt rules per protocol:host:port,snagel,snagel,Major,Resolved,Fixed,09/Apr/14 09:00,18/May/14 03:44,
Improvement,Patch Available,NUTCH-1676,12681719,,Add rudimentary SSL support to protocol-http,jnioche,jnioche,Major,Resolved,Fixed,28/Nov/13 09:12,18/May/14 03:44,
Improvement,Patch Available,NUTCH-1674,12680956,,"Use batchId filter to enable scan (GORA-119) for Fetch,Parse,Update,Index",,tiennm,Major,Resolved,Fixed,25/Nov/13 02:43,18/May/14 03:37,
Bug,Patch Available,NUTCH-1774,12713836,,Crawling from REST API giving NullPointerException,,sreemanth,Major,Closed,Won't Fix,13/May/14 06:20,17/May/14 18:35,
Bug,Patch Available,NUTCH-1651,12672301,,modifiedTime and prevmodifiedTime never set ,,talat,Major,Closed,Fixed,04/Oct/13 07:58,17/May/14 17:12,
New Feature,,NUTCH-1518,12627610,,session cookies support,,davidga,Major,Closed,Duplicate,15/Jan/13 07:58,15/May/14 09:44,
Bug,,NUTCH-1725,12694495,,CleaningJob's reducer does not commit deleted docs. ,,ilhamikalkan,Major,Resolved,Fixed,11/Feb/14 13:55,04/May/14 22:10,
Bug,,NUTCH-1728,12694976,,indexer-solr plugin is not delete docs from solr,,ilhamikalkan,Major,Resolved,Fixed,13/Feb/14 13:29,04/May/14 22:10,
Improvement,Patch Available,NUTCH-1556,12641787,,enabling updatedb to accept batchId ,,kaveh,Major,Closed,Fixed,10/Apr/13 08:12,01/May/14 16:01,
Bug,Patch Available,NUTCH-356,12348330,,Plugin repository cache can lead to memory leak,markus17,enrico,Major,Closed,Fixed,21/Aug/06 11:59,01/May/14 06:23,
Bug,Patch Available,NUTCH-1253,12538807,,Incompatible neko and xerces versions,lewismc,dspathis,Major,Closed,Fixed,18/Jan/12 14:26,01/May/14 06:23,
Improvement,,NUTCH-1568,12646004,,port pluggable indexing architecture to 2.x,,lewismc,Major,Closed,Fixed,03/May/13 16:37,01/May/14 06:23,
Bug,,NUTCH-992,12505404,,SolrDedup is broken in 2.x,,markus17,Major,Closed,Fixed,28/Apr/11 11:23,01/May/14 06:23,
Bug,Patch Available,NUTCH-1562,12643171,,Order of execution for scoring filters,,jnioche,Major,Closed,Fixed,18/Apr/13 10:01,01/May/14 06:23,
Improvement,,NUTCH-1599,12655802,,Obtain consensus on new description of Nutch,lewismc,lewismc,Major,Closed,Fixed,02/Jul/13 16:49,01/May/14 06:22,
Bug,Patch Available,NUTCH-1715,12691077,,RobotRulesParser adds additional '*' to the robots name,tejasp,tejasp,Major,Closed,Fixed,24/Jan/14 17:28,01/May/14 06:22,
Task,,NUTCH-1696,12687701,,Enable use of (Gora) SNAPSHOT dependencies,,lewismc,Major,Closed,Fixed,07/Jan/14 18:14,01/May/14 06:22,
Improvement,,NUTCH-1721,12692517,,Upgrade to Crawler commons 0.3,tejasp,tejasp,Major,Closed,Fixed,31/Jan/14 14:15,01/May/14 06:22,
Improvement,Patch Available,NUTCH-1595,12655728,,Upgrade to Tika 1.4,markus17,markus17,Major,Closed,Fixed,02/Jul/13 08:42,01/May/14 06:22,
Bug,,NUTCH-1673,12680919,,Title isn't reset in MoreIndexingFilter,,tiennm,Major,Closed,Fixed,24/Nov/13 08:42,01/May/14 06:22,
Bug,Patch Available,NUTCH-1738,12701858,,Expose number of URLs generated per batch in GeneratorJob,talat,lewismc,Major,Closed,Fixed,17/Mar/14 10:19,01/May/14 06:22,
Bug,Patch Available,NUTCH-1699,12688689,,Tika Parser - Image Parse Bug,,zyuzuguldu,Major,Closed,Fixed,14/Jan/14 07:29,01/May/14 06:22,
Bug,,NUTCH-1733,12700674,,parse-html to support HTML5 charset definitions,,snagel,Major,Closed,Fixed,11/Mar/14 10:55,01/May/14 06:22,
Improvement,Patch Available,NUTCH-1641,12668221,,Log timings for main jobs,,jnioche,Major,Closed,Fixed,12/Sep/13 09:29,01/May/14 06:22,
Sub-task,Patch Available,NUTCH-1655,12673533,12646004,Indexer Plugin for Elastic Search,,talat,Major,Closed,Fixed,12/Oct/13 06:30,01/May/14 06:22,
Bug,Patch Available,NUTCH-1719,12691634,,DomainStatistics fails in 2.x because URL is not unreversed,,gerhard.gossen,Major,Closed,Fixed,28/Jan/14 13:51,01/May/14 06:22,
Bug,,NUTCH-1716,12691080,,RobotRulesParser adds extra '*' to the robots name,tejasp,tejasp,Major,Closed,Duplicate,24/Jan/14 17:38,01/May/14 06:22,
Improvement,Patch Available,NUTCH-1629,12664728,,there is no need to fail on empty lines in seed file when injecting.,,kaveh,Major,Closed,Fixed,20/Aug/13 23:12,01/May/14 06:22,
Bug,Patch Available,NUTCH-1490,12614786,,Data Truncation exceptions when using mysql,,xabbu42,Major,Closed,Won't Fix,05/Nov/12 13:11,01/May/14 06:15,
Bug,,NUTCH-1410,12596048,,impact of a map-reduce problem,,behnam.nikbakht,Major,Closed,Not A Problem,27/Jun/12 08:16,01/May/14 06:02,
Task,Patch Available,NUTCH-1762,12709922,,project web site's search (provided by lucid) is broken ,snagel,iorixxx,Major,Closed,Fixed,23/Apr/14 01:14,25/Apr/14 18:02,
Bug,,NUTCH-1473,12609038,,"Column length too big for column 'text' (max = 21845); use BLOB or TEXT instead",,zhaixuepan,Major,Closed,Won't Fix,25/Sep/12 13:40,16/Apr/14 22:29,
Bug,,NUTCH-970,12502035,,Injector job crashes with MySQL with table collation set to utf8_general_ci,,markus17,Major,Closed,Won't Fix,22/Mar/11 09:51,16/Apr/14 22:28,
Bug,,NUTCH-1744,12705993,,FTP Issue when entering Passive mode,,rafael.coutinho,Major,Closed,Not A Problem,01/Apr/14 16:17,01/Apr/14 18:08,
Task,,NUTCH-1742,12703010,,Please delete old releases from mirroring system,snagel,sebb,Major,Closed,Fixed,22/Mar/14 02:41,25/Mar/14 13:55,
Improvement,Patch Available,NUTCH-1478,12612492,,Parse-metatags and index-metadata plugin for Nutch 2.x series ,,kiranch,Major,Closed,Fixed,18/Oct/12 21:09,20/Mar/14 01:19,
Bug,Patch Available,NUTCH-1646,12671549,,IndexerMapReduce to consider DB status,markus17,markus17,Major,Resolved,Fixed,01/Oct/13 10:44,07/Mar/14 18:18,
Improvement,Patch Available,NUTCH-1707,12689479,,DummyIndexingWriter,markus17,markus17,Major,Resolved,Fixed,17/Jan/14 10:53,10/Feb/14 12:52,
Bug,Patch Available,NUTCH-1681,12683862,,"In URLUtil.java, toUNICODE method does not work correctly",,ilhamikalkan,Major,Resolved,Fixed,10/Dec/13 16:00,23/Dec/13 15:43,
Bug,,NUTCH-1685,12685913,,URLUtil.toUNICODE fails on IDNs,,snagel,Major,Closed,Duplicate,20/Dec/13 22:43,23/Dec/13 10:42,
Improvement,Patch Available,NUTCH-1388,12560342,,Optionally maintain custom fetch interval despite AdaptiveFetchSchedule,markus17,markus17,Major,Closed,Fixed,12/Jun/12 13:05,11/Dec/13 03:10,
Improvement,Patch Available,NUTCH-1382,12559859,,Adding support for EmbeddedSolrServer to SolrIndexer,,emrecelikten,Major,Resolved,Won't Fix,08/Jun/12 15:37,15/Nov/13 18:02,
Bug,Patch Available,NUTCH-1558,12642936,,"CharEncodingForConversion in ParseData's ParseMeta, not in ParseData's ContentMeta",chrismattmann,chrismattmann,Major,Resolved,Won't Fix,17/Apr/13 14:16,15/Nov/13 17:56,
Bug,,NUTCH-1607,12656593,,Make inproper multiValued field configurable,,stbc,Major,Resolved,Not A Problem,08/Jul/13 11:32,15/Nov/13 17:51,
New Feature,Patch Available,NUTCH-828,12466419,,Fetch Filter,musepwizard,musepwizard,Major,Resolved,Won't Fix,08/Jun/10 05:34,15/Nov/13 17:38,09/Jun/10 00:00
Bug,,NUTCH-1100,12520731,,SolrDedup broken,,markus17,Major,Resolved,Fixed,30/Aug/11 12:50,12/Nov/13 00:32,
Wish,,NUTCH-1664,12677802,,Support for Hadoop 2.x,,pinventado,Major,Closed,Invalid,06/Nov/13 16:35,06/Nov/13 22:00,
Bug,,NUTCH-1658,12676671,,Nutch mangles seed URLs and then reports on the mangled ones,,Steve Newcomb,Major,Closed,Not A Problem,30/Oct/13 16:57,31/Oct/13 12:54,
Bug,Patch Available,NUTCH-1656,12674093,,ParseMeta not passed to CrawlDatum for not_modified,markus17,markus17,Major,Resolved,Fixed,16/Oct/13 09:15,16/Oct/13 15:49,
Bug,Patch Available,NUTCH-1089,12519832,,short compressed pages caused Exception  ,,psimone,Major,Closed,Fixed,23/Aug/11 14:49,01/Oct/13 12:04,
New Feature,,NUTCH-684,12413633,,Dedup support for Solr,dogacan,dogacan,Major,Closed,Fixed,30/Jan/09 16:34,25/Sep/13 10:29,
New Feature,Patch Available,NUTCH-1047,12513932,,Pluggable indexing backends,jnioche,jnioche,Major,Closed,Fixed,13/Jul/11 14:26,25/Sep/13 10:29,
Improvement,Patch Available,NUTCH-1637,12667545,,URLUtil is missing getProtocol,markus17,markus17,Major,Resolved,Fixed,09/Sep/13 11:03,20/Sep/13 21:04,
Bug,Patch Available,NUTCH-1375,12556850,,extract main content of a html file,,behnam.nikbakht,Major,Closed,Won't Fix,22/May/12 12:19,25/Aug/13 15:52,
Improvement,Patch Available,NUTCH-1598,12655766,,ElasticSearchIndexer to read ImmutableSettings from config,markus17,markus17,Major,Resolved,Fixed,02/Jul/13 12:52,15/Aug/13 16:33,
Improvement,Patch Available,NUTCH-945,12492025,,Indexing to multiple SOLR Servers,,malemarpuramc,Major,Closed,Duplicate,03/Dec/10 20:22,07/Aug/13 07:34,
Improvement,,NUTCH-806,12460549,,Merge CrawlDBScanner with CrawlDBReader,jnioche,jnioche,Major,Resolved,Fixed,29/Mar/10 13:46,29/Jul/13 13:40,
Bug,,NUTCH-1612,12657929,,Getting URl Malformed exception with Nutch 2.2 and Hadoop 1.0.3,,amityadav2911,Major,Closed,Cannot Reproduce,16/Jul/13 05:49,17/Jul/13 20:58,
Bug,,NUTCH-1596,12655733,,HeadingsParseFilter not thread safe,markus17,markus17,Major,Resolved,Fixed,02/Jul/13 09:08,04/Jul/13 12:09,
Improvement,Patch Available,NUTCH-1597,12655734,,HeadingsParseFilter to trim and remove exess whitespace,markus17,markus17,Major,Resolved,Fixed,02/Jul/13 09:11,04/Jul/13 10:10,
Bug,Patch Available,NUTCH-1601,12655998,,ElasticSearchIndexer fails to properly delete documents,markus17,markus17,Major,Resolved,Fixed,03/Jul/13 10:48,04/Jul/13 09:08,
New Feature,,NUTCH-1327,12549226,,QueryStringNormalizer,markus17,markus17,Major,Resolved,Fixed,02/Apr/12 20:56,02/Jul/13 09:50,
Bug,,NUTCH-1580,12651307,,index-static returns object instead of value for index.static,,stone2dbone,Major,Resolved,Fixed,06/Jun/13 11:10,27/Jun/13 21:14,
Improvement,,NUTCH-1585,12653637,,Ensure duplicate tags do not exist in microformat-reltag tag set.,lewismc,lewismc,Major,Closed,Fixed,19/Jun/13 03:25,27/Jun/13 17:14,
Bug,Patch Available,NUTCH-1571,12647880,,SolrInputSplit doesn't implement Writable and crawl script doesn't pass crawlId to generate and updatedb tasks,,yuanyun.cn,Major,Closed,Fixed,16/May/13 03:22,27/Jun/13 17:13,
Bug,,NUTCH-1579,12650360,,NPE when using solr indexing,,shantharam_a,Major,Closed,Fixed,31/May/13 15:56,31/May/13 22:14,
Improvement,Patch Available,NUTCH-1569,12647074,,Upgrade 2.x to Gora 0.3,lewismc,lewismc,Major,Resolved,Fixed,10/May/13 18:49,24/May/13 04:20,
Bug,,NUTCH-1243,12537301,,Junit jar removed from lib,,jnioche,Major,Closed,Fixed,05/Jan/12 11:29,24/May/13 04:20,
Bug,,NUTCH-1574,12648452,,Crawling parent directories for http(s) protocol ,,stone2dbone,Major,Open,,20/May/13 16:01,23/May/13 14:42,
Improvement,Patch Available,NUTCH-1266,12541406,,Subcollection to optionally write to configured fields,markus17,markus17,Major,Closed,Fixed,06/Feb/12 13:14,22/May/13 03:53,
Bug,Patch Available,NUTCH-1551,12639956,,Improve WebTableReader field order and display batchId,lewismc,lewismc,Major,Closed,Fixed,30/Mar/13 22:46,22/May/13 03:53,
Sub-task,,NUTCH-1160,12526737,12526733,Write JUnit tests for index-basic,lewismc,lewismc,Major,Closed,Fixed,11/Oct/11 20:18,22/May/13 03:53,
Task,,NUTCH-999,12507602,,Normalise String representation for Dates in IndexingFilters,,jnioche,Major,Closed,Fixed,18/May/11 12:00,22/May/13 03:53,
Bug,Patch Available,NUTCH-1320,12548302,,IndexChecker and ParseChecker choke on IDN's,markus17,markus17,Major,Closed,Fixed,27/Mar/12 12:57,22/May/13 03:53,
Bug,Patch Available,NUTCH-1344,12551980,,BasicURLNormalizer to normalize https same as http ,,snagel,Major,Closed,Fixed,21/Apr/12 10:07,22/May/13 03:53,
Improvement,,NUTCH-1264,12540710,,Configurable indexing plugin (index-metadata) ,,jnioche,Major,Closed,Fixed,01/Feb/12 12:17,22/May/13 03:53,
Improvement,Patch Available,NUTCH-924,12478058,,Static field in solr mapping,markus17,dstuart,Major,Closed,Won't Fix,22/Oct/10 10:26,22/May/13 03:53,
Bug,,NUTCH-1393,12560583,,Display consistent usage of GeneratorJob with 1.X,,lewismc,Major,Closed,Fixed,13/Jun/12 23:38,22/May/13 03:53,
Bug,,NUTCH-1404,12595105,,Nutch script fails to find job file in deploy mode,jnioche,jnioche,Major,Closed,Fixed,19/Jun/12 13:07,22/May/13 03:53,
Improvement,,NUTCH-921,12477759,,Reduce dependency of Nutch on config files,ab,ab,Major,Closed,Fixed,19/Oct/10 16:51,22/May/13 03:53,
New Feature,Patch Available,NUTCH-838,12468298,,Add timing information to all Tool classes,chrismattmann,jeroenv,Major,Closed,Fixed,30/Jun/10 21:30,22/May/13 03:53,
New Feature,Patch Available,NUTCH-855,12469312,,ScoringFilter and IndexingFilter: To allow for the propagation of URL Metatags and their subsequent indexing.,chrismattmann,sgonyea,Major,Closed,Fixed,15/Jul/10 01:48,22/May/13 03:53,
Improvement,Patch Available,NUTCH-747,12432372,,inject&Index metadatas and inherit these metadatas to all matching suburls,,bauhardt,Major,Closed,Implemented,06/Aug/09 10:35,22/May/13 03:53,
Improvement,,NUTCH-1512,12625854,,SegmentMerger to normalize,markus17,markus17,Major,Closed,Not A Problem,03/Jan/13 14:42,22/May/13 03:53,
Improvement,Patch Available,NUTCH-844,12468817,,Improve NutchConfiguration,ab,ab,Major,Closed,Fixed,08/Jul/10 12:59,22/May/13 03:53,
Bug,,NUTCH-907,12474183,,DataStore API doesn't support multiple storage areas for multiple disjoint crawls,ab,ab,Major,Closed,Fixed,15/Sep/10 15:00,22/May/13 03:53,
Improvement,,NUTCH-1394,12560585,,backport NUTCH-1232 Remove site field from index-basic,lewismc,lewismc,Major,Closed,Fixed,13/Jun/12 23:42,22/May/13 03:53,
Bug,,NUTCH-1288,12543438,,Generator should not generate filter and not found and denied and gone and permanently moved pages,,behnam.nikbakht,Major,Closed,Invalid,21/Feb/12 07:58,22/May/13 03:53,
Bug,,NUTCH-1310,12546406,,Nutch to send HTTP-accept header,markus17,markus17,Major,Closed,Fixed,14/Mar/12 15:14,22/May/13 03:53,
Bug,,NUTCH-835,12467886,,document deduplication (exact duplicates) failed using MD5Signature,ab,snagel,Major,Closed,Fixed,25/Jun/10 11:01,22/May/13 03:53,
Bug,,NUTCH-314,12345106,,Multiple language identifier instances,,enrico,Major,Closed,Won't Fix,28/Jun/06 19:30,22/May/13 03:53,
Bug,,NUTCH-777,12443790,,Upgrading to jetty6 broke unit tests,chrismattmann,chrismattmann,Major,Closed,Fixed,18/Dec/09 18:29,22/May/13 03:53,
Bug,,NUTCH-1439,12600367,,Define boost field as type float in schema-solr4.xml,,lewismc,Major,Closed,Fixed,26/Jul/12 19:18,22/May/13 03:53,
Improvement,,NUTCH-1573,12648322,,Upgrade to most recent JUnit 4.x to improve test flexibility,lewismc,lewismc,Major,Closed,Fixed,18/May/13 21:29,22/May/13 03:53,
New Feature,,NUTCH-867,12470573,,Port Nutch benchmark to Nutchbase,ab,ab,Major,Closed,Fixed,31/Jul/10 18:06,22/May/13 03:53,
Improvement,,NUTCH-1213,12532692,,Pass additional SolrParams when indexing to Solr,ab,ab,Major,Closed,Fixed,25/Nov/11 10:14,22/May/13 03:53,
Sub-task,Patch Available,NUTCH-1225,12535167,12534979,Migrate CrawlDBScanner to MapReduce API,,markus17,Major,Closed,Won't Fix,14/Dec/11 14:34,22/May/13 03:53,
Improvement,,NUTCH-1239,12536561,,Webgraph should remove deleted pages from segment input,markus17,markus17,Major,Closed,Fixed,29/Dec/11 08:47,22/May/13 03:53,
Bug,Patch Available,NUTCH-1341,12551628,,NotModified time set to now but page not modified,markus17,markus17,Major,Closed,Fixed,19/Apr/12 14:50,22/May/13 03:53,
Bug,,NUTCH-1447,12602234,,"Nutch 2.x with Cloudera CDH 4 get Error: Found interface org.apache.hadoop.mapreduce.TaskAttemptContext, but class was expected ",,tk1cntt,Major,Closed,Won't Fix,08/Aug/12 13:00,22/May/13 03:53,
Improvement,,NUTCH-1347,12553456,,fetcher politeness related to map-reduce,,behnam.nikbakht,Major,Closed,Not A Problem,01/May/12 07:29,22/May/13 03:53,
Bug,,NUTCH-876,12471113,,Remove remaining robots/IP blocking code in lib-http,ab,ab,Major,Closed,Fixed,09/Aug/10 14:09,22/May/13 03:53,
New Feature,Patch Available,NUTCH-1184,12529066,,Fetcher to parse and follow Nth degree outlinks,markus17,markus17,Major,Closed,Fixed,27/Oct/11 15:40,22/May/13 03:53,
New Feature,Patch Available,NUTCH-1210,12532631,,DomainBlacklistFilter,markus17,markus17,Major,Closed,Fixed,24/Nov/11 16:27,22/May/13 03:53,
New Feature,,NUTCH-863,12470437,,Benchmark and a testbed proxy server,ab,ab,Major,Closed,Fixed,29/Jul/10 13:07,22/May/13 03:53,
New Feature,Patch Available,NUTCH-1038,12513653,,Port IndexingFiltersChecker to 2.0,,markus17,Major,Closed,Fixed,11/Jul/11 10:42,22/May/13 03:53,
New Feature,,NUTCH-1331,12550478,,limit crawler to defined depth,,behnam.nikbakht,Major,Closed,Fixed,11/Apr/12 07:37,22/May/13 03:53,
Bug,Patch Available,NUTCH-1174,12527559,,Outlinks are not properly normalized,markus17,markus17,Major,Closed,Fixed,18/Oct/11 09:43,22/May/13 03:53,
Bug,,NUTCH-1391,12560579,,readdb -stats fires java.io.EOFException,,lewismc,Major,Closed,Fixed,13/Jun/12 23:31,22/May/13 03:53,
